#bioname	bioname_parent	base	acid	base_parent	acid_parent	inconsistency	null	null	base_n	acid_n	base_parent_n	acid_parent_n	type_n
(S)-4-hydroxy-2-oxopentanoate	a 2-oxocarboxylate	CHEBI:73143	CHEBI:73148	CHEBI:35179	CHEBI:35910	left_incomplete	$null$	$null$	(S)-4-hydroxy-2-oxopentanoate	(S)-4-hydroxy-2-oxopentanoic acid	2-oxo monocarboxylic acid anion	2-oxo monocarboxylic acid	$null$
17alpha-(N-acetyl-alpha-D-glucosaminyl)estradiol 3-glucosiduronate	steroid glucuronate	CHEBI:73194	CHEBI:73201	CHEBI:136637	CHEBI:26763	left_incomplete	$null$	$null$	17alpha-(N-acetyl-alpha-D-glucosaminyl)estradiol 3-glucosiduronate	17alpha-(N-acetyl-alpha-D-glucosaminyl)estradiol 3-glucuronoside	steroid glucosiduronic acid anion	steroid glucosiduronic acid	$null$
2-hydroxytetracosanoyl-CoA	a very long-chain fatty acyl-CoA	CHEBI:74118	CHEBI:74140	CHEBI:138261	CHEBI:61910	left_incomplete	$null$	$null$	2-hydroxytetracosanoyl-CoA(4-)	2-hydroxytetracosanoyl-CoA	very long-chain fatty acyl-CoA(4-)	very long-chain fatty acyl-CoA	$null$
(4Z)-2-oxohept-4-enedioate	oxo dicarboxylic acid	CHEBI:87507	CHEBI:87772	CHEBI:133294	CHEBI:36145	left_incomplete	$null$	$null$	(4Z)-2-oxohept-4-enedioate	(4Z)-2-oxohept-4-enedioic acid	oxo dicarboxylic acid dianion	oxo dicarboxylic acid	$null$
3-oxo-(15Z,18Z,21Z,24Z,27Z)-triacontapentaenoyl-CoA	an ultra-long-chain fatty acyl-CoA	CHEBI:74246	CHEBI:74399	CHEBI:143018	CHEBI:143017	left_incomplete	$null$	$null$	(15Z,18Z,21Z,24Z,27Z)-3-oxotriacontapentaenoyl-CoA(4-)	(15Z,18Z,21Z,24Z,27Z)-3-oxotriacontapentaenoyl-CoA	ultra-long-chain fatty acyl-CoA(4-)	ultra-long-chain fatty acyl-CoA	$null$
3-oxo-(15Z,18Z,21Z,24Z,27Z)-triacontapentaenoyl-CoA	a very long-chain fatty acyl-CoA	CHEBI:74246	CHEBI:74399	CHEBI:138261	CHEBI:61910	left_incomplete	$null$	$null$	(15Z,18Z,21Z,24Z,27Z)-3-oxotriacontapentaenoyl-CoA(4-)	(15Z,18Z,21Z,24Z,27Z)-3-oxotriacontapentaenoyl-CoA	very long-chain fatty acyl-CoA(4-)	very long-chain fatty acyl-CoA	$null$
3-oxo-(19Z,22Z,25Z,28Z,31Z)-tetratriacontapentaenoyl-CoA	an ultra-long-chain fatty acyl-CoA	CHEBI:74249	CHEBI:74401	CHEBI:143018	CHEBI:143017	left_incomplete	$null$	$null$	(19Z,22Z,25Z,28Z,31Z)-3-oxotetratriacontapentaenoyl-CoA(4-)	(19Z,22Z,25Z,28Z,31Z)-3-oxotetratriacontapentaenoyl-CoA	ultra-long-chain fatty acyl-CoA(4-)	ultra-long-chain fatty acyl-CoA	$null$
3-oxo-(19Z,22Z,25Z,28Z,31Z)-tetratriacontapentaenoyl-CoA	a very long-chain fatty acyl-CoA	CHEBI:74249	CHEBI:74401	CHEBI:138261	CHEBI:61910	left_incomplete	$null$	$null$	(19Z,22Z,25Z,28Z,31Z)-3-oxotetratriacontapentaenoyl-CoA(4-)	(19Z,22Z,25Z,28Z,31Z)-3-oxotetratriacontapentaenoyl-CoA	very long-chain fatty acyl-CoA(4-)	very long-chain fatty acyl-CoA	$null$
3-oxo-(21Z,24Z,27Z,30Z)-hexatriacontatetraenoyl-CoA	an ultra-long-chain fatty acyl-CoA	CHEBI:74292	CHEBI:74522	CHEBI:143018	CHEBI:143017	left_incomplete	$null$	$null$	(21Z,24Z,27Z,30Z)-3-oxohexatriacontatetraenoyl-CoA(4-)	(21Z,24Z,27Z,30Z)-3-oxohexatriacontatetraenoyl-CoA	ultra-long-chain fatty acyl-CoA(4-)	ultra-long-chain fatty acyl-CoA	$null$
(2E)-geranyl phosphate	a polyprenol phosphate	CHEBI:88107	CHEBI:90159	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	geranyl phosphate(2-)	geranyl phosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
3-oxo-(21Z,24Z,27Z,30Z)-hexatriacontatetraenoyl-CoA	a very long-chain fatty acyl-CoA	CHEBI:74292	CHEBI:74522	CHEBI:138261	CHEBI:61910	left_incomplete	$null$	$null$	(21Z,24Z,27Z,30Z)-3-oxohexatriacontatetraenoyl-CoA(4-)	(21Z,24Z,27Z,30Z)-3-oxohexatriacontatetraenoyl-CoA	very long-chain fatty acyl-CoA(4-)	very long-chain fatty acyl-CoA	$null$
4-hydroxy-2-oxoglutarate	oxo dicarboxylic acid	CHEBI:17742	CHEBI:30923	CHEBI:133294	CHEBI:36145	left_incomplete	$null$	$null$	4-hydroxy-2-oxoglutarate(2-)	4-hydroxy-2-oxoglutaric acid	oxo dicarboxylic acid dianion	oxo dicarboxylic acid	$null$
(S)-3-hydroxy-2-methylpropanoate	3-hydroxy-2-methylpropanoate	CHEBI:62638	CHEBI:37373	CHEBI:11805	CHEBI:18064	left_incomplete	$null$	$null$	(S)-3-hydroxyisobutyrate	(S)-3-hydroxyisobutyric acid	3-hydroxyisobutyrate	3-hydroxyisobutyric acid	$null$
3-oxo-(8Z,11Z,14Z,17Z,20Z,23Z)-hexacosahexaenoyl-CoA	a very long-chain fatty acyl-CoA	CHEBI:74305	CHEBI:74585	CHEBI:138261	CHEBI:61910	left_incomplete	$null$	$null$	(8Z,11Z,14Z,17Z,20Z,23Z)-3-oxohexacosahexaenoyl-CoA(4-)	(8Z,11Z,14Z,17Z,20Z,23Z)-3-oxohexacosahexaenoyl-CoA	very long-chain fatty acyl-CoA(4-)	very long-chain fatty acyl-CoA	$null$
(2E,6E)-farnesyl phosphate	a polyprenol phosphate	CHEBI:88226	CHEBI:90236	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	(2E,6E)-farnesyl monophosphate(2-)	(2E,6E)-farnesyl monophosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
N-succinyl-L-glutamate	an N-acyl-L-amino acid	CHEBI:58763	CHEBI:48957	CHEBI:59874	CHEBI:48927	left_incomplete	$null$	$null$	N-(3-carboxylatopropanoyl)-L-glutamate(3-)	N(2)-succinyl-L-glutamic acid	N-acyl-L-alpha-amino acid anion	N-acyl-L-alpha-amino acid	$null$
all-trans-nonaprenyl diphosphate	a polyprenol phosphate	CHEBI:58391	CHEBI:18144	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	all-trans-nonaprenyl diphosphate(3-)	all-trans-nonaprenyl diphosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
N-acetyl-alpha-neuraminyl-(2->8)-N-acetyl-alpha-neuraminyl-(2->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-N-(octadecanoyl)-sphing-4-enine	ganglioside GD3	CHEBI:88234	CHEBI:90240	CHEBI:79214	CHEBI:79213	left_incomplete	$null$	$null$	alpha-Neu5Ac-(2->8)-alpha-Neu5Ac-(2->3)-beta-Gal-(1->4)-beta-Glc-(1<->1')-Cer(d18:1/18:0)(2-)	alpha-Neu5Ac-(2->8)-alpha-Neu5Ac-(2->3)-beta-Gal-(1->4)-beta-Glc-(1<->1')-Cer(d18:1/18:0)	alpha-N-acetylneuraminyl-(2->8)-alpha-N-acetylneuraminyl-(2->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide(2-)	alpha-N-acetylneuraminosyl-(2->8)-alpha-N-acetylneuraminosyl-(2->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	$null$
triphosphate(4-)	triphosphate	CHEBI:48316	CHEBI:48314	CHEBI:18036	CHEBI:48314	left_incomplete	$null$	$null$	triphosphate(4-)	triphosphate(2-)	triphosphate(5-)	triphosphate(2-)	$null$
triphosphate	triphosphate(4-)	CHEBI:18036	CHEBI:48315	CHEBI:48316	CHEBI:48315	left_incomplete	$null$	$null$	triphosphate(5-)	triphosphate(3-)	triphosphate(4-)	triphosphate(3-)	$null$
1-(6Z,9Z,12Z-octadecatrienoyl)-sn-glycero-3-phosphate	a 1,2-diacyl-sn-glycero-3-phosphate	CHEBI:74581	CHEBI:74933	CHEBI:58608	CHEBI:29089	left_incomplete	$null$	$null$	gamma-linolenoyl-sn-glycero-3-phosphate(2-)	1-(gamma-linolenoyl)-sn-glycero-3-phosphate	1,2-diacyl-sn-glycerol 3-phosphate(2-)	1,2-diacyl-sn-glycerol 3-phosphate	$null$
1-(6Z,9Z,12Z-octadecatrienoyl)-sn-glycero-3-phosphate	a 1,2-diacylglycero-3-phosphate	CHEBI:74581	CHEBI:74933	CHEBI:57739	CHEBI:16337	left_incomplete	$null$	$null$	gamma-linolenoyl-sn-glycero-3-phosphate(2-)	1-(gamma-linolenoyl)-sn-glycero-3-phosphate	phosphatidate(2-)	phosphatidic acid	$null$
(R)-2-(carboxymethyl)-5-oxo-2,5-dihydro-2-furoate	a monocarboxylate	CHEBI:58771	CHEBI:49030	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	(R)-2-(carboxylatomethyl)-5-oxo-2,5-dihydro-2-furoate	(R)-2-(carboxymethyl)-5-oxo-2,5-dihydro-2-furoic acid	monocarboxylic acid anion	monocarboxylic acid	$null$
(R)-2-(carboxymethyl)-5-oxo-2,5-dihydro-2-furoate	2-(carboxymethyl)-5-oxo-2,5-dihydro-2-furoate	CHEBI:58771	CHEBI:49030	CHEBI:57979	CHEBI:16993	left_incomplete	$null$	$null$	(R)-2-(carboxylatomethyl)-5-oxo-2,5-dihydro-2-furoate	(R)-2-(carboxymethyl)-5-oxo-2,5-dihydro-2-furoic acid	2-(carboxylatomethyl)-5-oxo-2,5-dihydro-2-furoate(2-)	2-(carboxymethyl)-5-oxo-2,5-dihydro-2-furoic acid	$null$
3-ADP-2-phosphoglycerate	3-ADP-glycerate	CHEBI:58381	CHEBI:18117	CHEBI:57800	CHEBI:16515	left_incomplete	$null$	$null$	3-ADP-2-phosphoglycerate(5-)	3-ADP-2-phosphoglyceric acid	3-ADP-glycerate(3-)	3-ADP-glyceric acid	$null$
4alpha-carboxy-4beta-methyl-5alpha-cholest-7-ene-3beta-ol	a monocarboxylate	CHEBI:58387	CHEBI:18134	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	3beta-hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate	3beta-hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylic acid	monocarboxylic acid anion	monocarboxylic acid	$null$
alpha-D-glucose 1,6-bisphosphate	D-glucose 1,6-bisphosphate	CHEBI:58392	CHEBI:18148	CHEBI:58232	CHEBI:17680	left_incomplete	$null$	$null$	alpha-D-glucose 1,6-bisphosphate(4-)	alpha-D-glucose 1,6-bisphosphate	D-glucose 1,6-bisphosphate(4-)	D-glucose 1,6-bisphosphate	$null$
3,4-dihydroxy-5-all-trans-octaprenylbenzoate	an aromatic carboxylate	CHEBI:84452	CHEBI:84451	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	3,4-dihydroxy-5-all-trans-octaprenylbenzoate	3,4-dihydroxy-5-all-trans-octaprenylbenzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
3,4-dihydroxy-5-all-trans-heptaprenylbenzoate	an aromatic carboxylate	CHEBI:84450	CHEBI:84446	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	3,4-dihydroxy-5-all-trans-heptaprenylbenzoate	3,4-dihydroxy-5-all-trans-heptaprenylbenzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
2-hydroxy-3-methylhexadecanoyl-CoA	a 2-hydroxy-3-methyl fatty acyl-CoA	CHEBI:58784	CHEBI:49174	CHEBI:58783	CHEBI:49173	left_incomplete	$null$	$null$	2-hydroxy-3-methylhexadecanoyl-CoA(4-)	2-hydroxy-3-methylhexadecanoyl-CoA	2-hydroxy-3-methylacyl-CoA(4-)	2-hydroxy-3-methylacyl-CoA	$null$
1D-myo-inositol 1,3,4-trisphosphate	a myo-inositol phosphate	CHEBI:58414	CHEBI:18228	CHEBI:84139	CHEBI:25448	left_incomplete	$null$	$null$	1D-myo-inositol 1,3,4-trisphosphate(6-)	1D-myo-inositol 1,3,4-trisphosphate	myo-inositol phosphate(2-)	myo-inositol phosphate	$null$
cis-3,4-dehydroadipyl-CoA	an acyl-CoA	CHEBI:58786	CHEBI:49179	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	cis-3,4-didehydroadipoyl-CoA(5-)	cis-3,4-didehydroadipoyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
cis-3,4-dehydroadipyl-CoA	a (3Z)-enoyl-CoA	CHEBI:58786	CHEBI:49179	CHEBI:85489	CHEBI:27773	left_incomplete	$null$	$null$	cis-3,4-didehydroadipoyl-CoA(5-)	cis-3,4-didehydroadipoyl-CoA	cis-3-enoyl-CoA(4-)	cis-3-enoyl-CoA	$null$
di-trans,octa-cis-undecaprenyl diphosphate	a polyprenol phosphate	CHEBI:58405	CHEBI:18197	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	ditrans,polycis-undecaprenyl diphosphate(3-)	ditrans,polycis-undecaprenyl diphosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
3-methoxy-4-hydroxy-5-all-trans-heptaprenylbenzoate	an aromatic carboxylate	CHEBI:84454	CHEBI:84453	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	3-methoxy-4-hydroxy-5-all-trans-heptaprenylbenzoate	3-methoxy-4-hydroxy-5-all-trans-heptaprenylbenzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
cis-3,4-dehydroadipyl-CoA	a fatty acyl-CoA	CHEBI:58786	CHEBI:49179	CHEBI:77636	CHEBI:37554	left_incomplete	$null$	$null$	cis-3,4-didehydroadipoyl-CoA(5-)	cis-3,4-didehydroadipoyl-CoA	fatty acyl-CoA(4-)	fatty acyl-CoA	$null$
(3Z)-6-oxohex-3-enoyl-CoA	a (3Z)-enoyl-CoA	CHEBI:58787	CHEBI:49180	CHEBI:85489	CHEBI:27773	left_incomplete	$null$	$null$	cis-3,4-didehydroadipoyl-CoA semialdehyde(4-)	cis-3,4-didehydroadipoyl-CoA semialdehyde	cis-3-enoyl-CoA(4-)	cis-3-enoyl-CoA	$null$
3-methoxy-4-hydroxy-5-all-trans-octaprenylbenzoate	an aromatic carboxylate	CHEBI:84456	CHEBI:84455	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	3-methoxy-4-hydroxy-5-all-trans-octaprenylbenzoate	3-methoxy-4-hydroxy-5-all-trans-octaprenylbenzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
(3Z)-6-oxohex-3-enoyl-CoA	a fatty acyl-CoA	CHEBI:58787	CHEBI:49180	CHEBI:77636	CHEBI:37554	left_incomplete	$null$	$null$	cis-3,4-didehydroadipoyl-CoA semialdehyde(4-)	cis-3,4-didehydroadipoyl-CoA semialdehyde	fatty acyl-CoA(4-)	fatty acyl-CoA	$null$
beta-D-mannosyl-(1->4)-N,N'-diacetylchitobiosyldiphosphodolichol	dolichyl diphosphooligosaccharide	CHEBI:58472	CHEBI:18396	CHEBI:57570	CHEBI:15926	left_incomplete	$null$	$null$	beta-D-mannosyldiacetylchitobiosyldiphosphodolichol(2-)	beta-D-mannosyldiacetylchitobiosyldiphosphodolichol	dolichyl diphosphooligosaccharide(2-)	dolichyl diphosphooligosaccharide	$null$
beta-D-mannosyl-(1->4)-N,N'-diacetylchitobiosyldiphosphodolichol	a polyprenol phosphate	CHEBI:58472	CHEBI:18396	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	beta-D-mannosyldiacetylchitobiosyldiphosphodolichol(2-)	beta-D-mannosyldiacetylchitobiosyldiphosphodolichol	polyprenol phosphate anion	polyprenol phosphate	$null$
(2S)-2-acetolactate	a 3-oxo acid	CHEBI:58476	CHEBI:18409	CHEBI:35973	CHEBI:47881	left_incomplete	$null$	$null$	(2S)-2-hydroxy-2-methyl-3-oxobutanoate	(2S)-2-hydroxy-2-methyl-3-oxobutanoic acid	3-oxo monocarboxylic acid anion	3-oxo monocarboxylic acid	$null$
4-(gamma-L-glutamylamino)butanoate	a monocarboxylate	CHEBI:58800	CHEBI:49260	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	4-(L-gamma-glutamylamino)butanoate	4-(L-gamma-glutamylamino)butanoic acid	monocarboxylic acid anion	monocarboxylic acid	$null$
(2S)-2-acetolactate	2-acetolactate	CHEBI:58476	CHEBI:18409	CHEBI:57774	CHEBI:16444	left_incomplete	$null$	$null$	(2S)-2-hydroxy-2-methyl-3-oxobutanoate	(2S)-2-hydroxy-2-methyl-3-oxobutanoic acid	2-acetyllactate	2-acetyllactic acid	$null$
3-hydroxy-2,4-dioxopentyl phosphate	a phosphate monoester	CHEBI:84359	CHEBI:85366	CHEBI:67140	CHEBI:7794	left_incomplete	$null$	$null$	3-hydroxy-2,4-dioxopentyl phosphate(2-)	3-hydroxy-2,4-dioxopentyl phosphate	phosphate monoester dianion	phosphate monoester	$null$
dCDP	a ribonucleoside 5'-diphosphate	CHEBI:58593	CHEBI:28846	CHEBI:57930	CHEBI:16862	left_incomplete	$null$	$null$	dCDP(3-)	dCDP	nucleoside 5'-diphosphate(3-)	nucleoside diphosphate	$null$
dCDP	a nucleoside 5'-phosphate	CHEBI:58593	CHEBI:28846	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	dCDP(3-)	dCDP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
2-epi-5-epi-valiolone 7-phosphate	a phosphate monoester	CHEBI:84362	CHEBI:85367	CHEBI:67140	CHEBI:7794	left_incomplete	$null$	$null$	2-epi-5-epi-valiolone 7-phosphate(2-)	2-epi-5-epi-valiolone 7-phosphate	phosphate monoester dianion	phosphate monoester	$null$
CDP	a nucleoside 5'-phosphate	CHEBI:58069	CHEBI:17239	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	CDP(3-)	CDP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
(E)-4-coumaroyl-CoA	a fatty acyl-CoA	CHEBI:85008	CHEBI:85531	CHEBI:77636	CHEBI:37554	left_incomplete	$null$	$null$	trans-4-coumaroyl-CoA(4-)	trans-4-coumaroyl-CoA	fatty acyl-CoA(4-)	fatty acyl-CoA	$null$
prenyl-FMN	a ribonucleoside 5'-phosphate	CHEBI:87746	CHEBI:87749	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	prenyl-FMN(2-)	prenyl-FMN	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
prenyl-FMN	an oxidized flavin	CHEBI:87746	CHEBI:87749	CHEBI:60531	CHEBI:30527	left_incomplete	$null$	$null$	prenyl-FMN(2-)	prenyl-FMN	flavin(1-)	flavin	$null$
prenyl-FMN	a nucleoside 5'-phosphate	CHEBI:87746	CHEBI:87749	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	prenyl-FMN(2-)	prenyl-FMN	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
(25R)-3beta-hydroxycholest-5-en-7-one-26-oate	a monocarboxylate	CHEBI:87678	CHEBI:87783	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	(25R)-3beta-hydroxycholest-5-en-7-one-26-oate	(25R)-3beta-hydroxycholest-5-en-7-one-26-oic acid	monocarboxylic acid anion	monocarboxylic acid	$null$
Man-beta1-6-Ins-1-P-Cer(d18:0/24:0)	a mannosyl-alpha-1->6-inositol phospho-N-acylsphinganine	CHEBI:65156	CHEBI:60416	CHEBI:138893	CHEBI:139446	left_incomplete	$null$	$null$	Man-beta1-6-Ins-1-P-Cer(d18:0/24:0)(1-)	Man-beta1-6-Ins-1-P-Cer(d18:0/24:0)	Man-1-6-Ins-1-P-Cer(d18:0)(1-)	Man-1-6-Ins-1-P-Cer(d18:0)	$null$
(16Z,19Z,22Z,25Z,28Z)-tetratriacontapentaenoyl-CoA	an ultra-long-chain fatty acyl-CoA	CHEBI:87794	CHEBI:87976	CHEBI:143018	CHEBI:143017	left_incomplete	$null$	$null$	(16Z,19Z,22Z,25Z,28Z)-tetratriacontapentaenoyl-CoA(4-)	(16Z,19Z,22Z,25Z,28Z)-tetratriacontapentaenoyl-CoA	ultra-long-chain fatty acyl-CoA(4-)	ultra-long-chain fatty acyl-CoA	$null$
(16Z,19Z,22Z,25Z,28Z)-tetratriacontapentaenoyl-CoA	a very long-chain fatty acyl-CoA	CHEBI:87794	CHEBI:87976	CHEBI:138261	CHEBI:61910	left_incomplete	$null$	$null$	(16Z,19Z,22Z,25Z,28Z)-tetratriacontapentaenoyl-CoA(4-)	(16Z,19Z,22Z,25Z,28Z)-tetratriacontapentaenoyl-CoA	very long-chain fatty acyl-CoA(4-)	very long-chain fatty acyl-CoA	$null$
4-carboxyzymosterol	a monocarboxylate	CHEBI:64967	CHEBI:63844	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	4-carboxyzymosterol(1-)	4-carboxyzymosterol	monocarboxylic acid anion	monocarboxylic acid	$null$
Man-beta1-6-Ins-1-P-Cer(d18:0/24:0)	an inositol-1-phosphoceramide	CHEBI:65156	CHEBI:60416	CHEBI:64916	CHEBI:60245	left_incomplete	$null$	$null$	Man-beta1-6-Ins-1-P-Cer(d18:0/24:0)(1-)	Man-beta1-6-Ins-1-P-Cer(d18:0/24:0)	inositol phosphoceramide(1-)	inositol phosphoceramide	$null$
(2S)-2-hydroxyphytanate	a 2-hydroxy fatty acid	CHEBI:58398	CHEBI:18164	CHEBI:76176	CHEBI:10283	left_incomplete	$null$	$null$	(2S)-2-hydroxyphytanate	(2S)-2-hydroxyphytanic acid	2-hydroxy fatty acid anion	2-hydroxy fatty acid	$null$
docosanoyl-CoA	a very long-chain fatty acyl-CoA	CHEBI:65059	CHEBI:65088	CHEBI:138261	CHEBI:61910	left_incomplete	$null$	$null$	docosanoyl-CoA(4-)	docosanoyl-CoA	very long-chain fatty acyl-CoA(4-)	very long-chain fatty acyl-CoA	$null$
trans,octa-cis-decaprenylphospho-beta-D-arabinofuranose	a polyprenol phosphate	CHEBI:65066	CHEBI:65096	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	trans,octacis-decaprenylphospho-beta-D-arabinofuranose(1-)	trans,octacis-decaprenylphospho-beta-D-arabinofuranose	polyprenol phosphate anion	polyprenol phosphate	$null$
trans,octa-cis-decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose	a polyprenol phosphate	CHEBI:65067	CHEBI:65100	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	trans,octacis-decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose(1-)	trans,octacis-decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose	polyprenol phosphate anion	polyprenol phosphate	$null$
N-acetyl-alpha-D-glucosaminyl-1-diphospho-trans,octa-cis-decaprenol	a polyprenol phosphate	CHEBI:65080	CHEBI:65116	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	N-acetyl-alpha-D-glucosaminyl-1-diphospho-trans,polycis-decaprenol(2-)	N-acetyl-alpha-D-glucosaminyl-1-diphospho-trans,polycis-decaprenol	polyprenol phosphate anion	polyprenol phosphate	$null$
trans,octa-cis-decaprenyl phosphate	a polyprenol phosphate	CHEBI:65079	CHEBI:66867	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	trans,polycis-decaprenyl phosphate(2-)	trans,polycis-decaprenyl phosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
a mannosylinositol-1-phospho-N-acyl-sphingoid base	an inositol-1-phosphoceramide	CHEBI:64997	CHEBI:25168	CHEBI:64916	CHEBI:60245	left_incomplete	$null$	$null$	mannosylinositol phosphorylceramide(1-)	mannosylinositol phosphorylceramide	inositol phosphoceramide(1-)	inositol phosphoceramide	$null$
kaempferol 7-O-beta-D-glucoside	2'-phospho-cyclic ADP-ribose	CHEBI:169944	CHEBI:76081	CHEBI:75970	CHEBI:76081	left_incomplete	$null$	$null$	kaempferol 7-O-beta-D-glucoside(1-)	2'-phospho-cyclic ADP-ribose	2'-phospho-cyclic ADP-ribose(3-)	2'-phospho-cyclic ADP-ribose	$null$
2-methyl-(2E)-pentadecenoyl-CoA	a (2E)-enoyl-CoA	CHEBI:77310	CHEBI:87259	CHEBI:58856	CHEBI:50998	left_incomplete	$null$	$null$	(E)-2-methylpentadec-2-enoyl-CoA(4-)	(E)-2-methylpentadec-2-enoyl-CoA	2,3-trans-enoyl CoA(4-)	trans-2-enoyl-CoA	$null$
Delta(1)-pyrroline-(4S)-hydroxy-2-carboxylate	4-hydroxy-1-pyrroline-2-carboxylate	CHEBI:87834	CHEBI:88149	CHEBI:57745	CHEBI:16352	left_incomplete	$null$	$null$	(S)-4-hydroxy-1-pyrroline-2-carboxylate	(S)-4-hydroxy-1-pyrroline-2-carboxylic acid	4-hydroxy-1-pyrroline-2-carboxylate	4-hydroxy-1-pyrroline-2-carboxylic acid	$null$
1-O-(alk-1-enyl)-sn-glycero-3-phosphate	1-O-alkyl-sn-glycero-3-phosphate	CHEBI:73325	CHEBI:73423	CHEBI:58014	CHEBI:17106	left_incomplete	$null$	$null$	1-(alk-1-enyl)-sn-glycero-3-phosphate(2-)	1-(alk-1-enyl)-sn-glycero-3-phosphate	1-alkyl-sn-glycerol 3-phosphate(2-)	1-alkyl-sn-glycerol 3-phosphate	$null$
4-methyl-5-[2-(phosphonatooxy)ethylidene]-2,5-dihydro-1,3-thiazole-2-carboxylate	a carboxylate	CHEBI:58895	CHEBI:52564	CHEBI:29067	CHEBI:33575	left_incomplete	$null$	$null$	2-carboxylato-4-methyl-5-[(2-phosphonatooxy)ethylidene]-2,5-dihydrothiazole(3-)	2-carboxy-4-methyl-5-[(2-phosphonooxy)ethylidene]-2,5-dihydrothiazole	carboxylic acid anion	carboxylic acid	$null$
4-methyl-5-[2-(phosphonatooxy)ethylidene]-2,5-dihydro-1,3-thiazole-2-carboxylate	a monocarboxylate	CHEBI:58895	CHEBI:52564	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	2-carboxylato-4-methyl-5-[(2-phosphonatooxy)ethylidene]-2,5-dihydrothiazole(3-)	2-carboxy-4-methyl-5-[(2-phosphonooxy)ethylidene]-2,5-dihydrothiazole	monocarboxylic acid anion	monocarboxylic acid	$null$
a bacteriochlorophyllide c	a chlorophyll	CHEBI:90965	CHEBI:81552	CHEBI:139291	CHEBI:28966	left_incomplete	$null$	$null$	bacteriochlorophyllide c(1-)	bacteriochlorophyllide c	chlorophyll(1-)	chlorophyll	$null$
a bacteriochlorophyllide c	a chlorophyllide	CHEBI:90965	CHEBI:81552	CHEBI:139292	CHEBI:38206	left_incomplete	$null$	$null$	bacteriochlorophyllide c(1-)	bacteriochlorophyllide c	chlorophyllide(2-)	chlorophyllide	$null$
3'-CMP	a ribonucleoside 5'-phosphate	CHEBI:60875	CHEBI:53013	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	3'-CMP(2-)	3'-CMP	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
